time_s,range_km,altitude_km,vx_m_s,vy_m_s,speed_m_s,mach,cd,mass_kg
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.320000,544400.000000
0.000100,0.000000,0.000000,0.000000,0.000333,0.000333,0.000001,0.320000,544399.702510
0.001100,0.000000,0.000000,0.000000,0.003661,0.003661,0.000011,0.320001,544396.727615
0.011100,0.000000,0.000000,0.000000,0.036960,0.036960,0.000109,0.320013,544366.978660
0.111100,0.000000,0.000021,0.000000,0.371494,0.371494,0.001092,0.320131,544069.489111
0.346634,0.000000,0.000202,0.000000,1.170575,1.170575,0.003440,0.320413,543368.800106
0.596634,0.000000,0.000602,0.000000,2.035884,2.035884,0.005983,0.320718,542625.076233
0.846634,0.000000,0.001221,0.000000,2.918908,2.918908,0.008578,0.321029,541881.352360
1.096634,0.000000,0.002063,0.000000,3.819701,3.819701,0.011225,0.321347,541137.628488
1.346634,0.000000,0.003133,0.000000,4.738318,4.738318,0.013925,0.321671,540393.904615
1.596634,0.000000,0.004434,0.000000,5.674814,5.674814,0.016677,0.322001,539650.180742
1.846634,0.000000,0.005972,0.000000,6.629245,6.629245,0.019482,0.322338,538906.456870
2.096634,0.000000,0.007750,0.000000,7.601667,7.601667,0.022341,0.322681,538162.732997
2.346634,0.000000,0.009774,0.000000,8.592136,8.592136,0.025252,0.323030,537419.009124
2.596634,0.000000,0.012048,0.000000,9.600709,9.600709,0.028217,0.323386,536675.285251
2.846634,0.000000,0.014576,0.000000,10.627442,10.627442,0.031235,0.323748,535931.561379
3.096634,0.000000,0.017363,0.000000,11.672395,11.672395,0.034308,0.324117,535187.837506
3.346634,0.000000,0.020413,0.000000,12.735623,12.735623,0.037434,0.324492,534444.113633
3.596634,0.000000,0.023732,0.000000,13.817186,13.817186,0.040615,0.324874,533700.389761
3.846634,0.000000,0.027324,0.000000,14.917142,14.917142,0.043850,0.325262,532956.665888
3.921723,0.000000,0.028456,0.000000,15.251123,15.251123,0.044832,0.325380,532733.282773
3.996813,0.000000,0.029614,0.000000,15.586770,15.586770,0.045819,0.325498,532509.899659
4.033757,0.000000,0.030193,0.000000,15.752399,15.752399,0.046307,0.325557,532399.994105
4.067086,0.000000,0.030720,0.000000,15.901915,15.901915,0.046746,0.325610,532300.844670
4.317086,0.000000,0.034836,0.000000,17.026337,17.026337,0.050054,0.326006,531557.120798
4.567086,0.000000,0.039234,0.000000,18.155879,18.155879,0.053377,0.326405,530813.396925
4.817086,0.000000,0.043915,0.000000,19.290560,19.290560,0.056716,0.326806,530069.673052
5.067086,0.000000,0.048880,0.000000,20.430404,20.430404,0.060071,0.327209,529325.949179
5.317086,0.000000,0.054130,0.000000,21.575432,21.575432,0.063441,0.327613,528582.225307
5.567086,0.000000,0.059668,0.000000,22.725665,22.725665,0.066828,0.328019,527838.501434
5.817086,0.000000,0.065494,0.000000,23.881125,23.881125,0.070230,0.328428,527094.777561
6.067086,0.000000,0.071609,0.000000,25.041835,25.041835,0.073649,0.328838,526351.053689
6.317086,0.000000,0.078015,0.000000,26.207815,26.207815,0.077083,0.329250,525607.329816
6.567086,0.000000,0.084713,0.000000,27.379090,27.379090,0.080535,0.329664,524863.605943
6.817086,0.000000,0.091705,0.000000,28.555679,28.555679,0.084002,0.330080,524119.882070
7.067086,0.000000,0.098992,0.000000,29.737606,29.737606,0.087486,0.330498,523376.158198
7.317086,0.000000,0.106574,0.000000,30.924894,30.924894,0.090987,0.330918,522632.434325
7.567086,0.000000,0.114454,0.000000,32.117563,32.117563,0.094504,0.331341,521888.710452
7.817086,0.000000,0.122633,0.000000,33.315638,33.315638,0.098039,0.331765,521144.986580
8.067086,0.000000,0.131113,0.000000,34.519140,34.519140,0.101590,0.332191,520401.262707
8.317086,0.000000,0.139893,0.000000,35.728092,35.728092,0.105158,0.332619,519657.538834
8.567086,0.000000,0.148977,0.000000,36.942517,36.942517,0.108744,0.333049,518913.814961
8.817086,0.000000,0.158365,0.000000,38.162438,38.162438,0.112347,0.333482,518170.091089
9.067086,0.000000,0.168059,0.000000,39.387877,39.387877,0.115967,0.333916,517426.367216
9.317086,0.000000,0.178060,0.000000,40.618857,40.618857,0.119605,0.334353,516682.643343
9.567086,0.000000,0.188369,0.000000,41.855402,41.855402,0.123261,0.334791,515938.919471
9.817086,0.000000,0.198988,0.000000,43.097535,43.097535,0.126934,0.335232,515195.195598
